TX: 13:32:25	/?!

RX: 13:32:25	bytearray(b'/?!\r\n')
RX: 13:32:26	bytearray(b'/SEE6\\2-2020\x07\x00\x00\x00\x01\r\n')
TX: 13:32:27	06 32 36 32 0D 0A 
RX: 13:32:27	bytearray(b'\x06262\r\n')
TX: 13:32:28	7E A0 08 02 25 03 93 E7 A2 7E
RX: 13:32:28	7E A0 08 02 25 03 93 E7 A2 7E 7E A0 1F 03 02 25 73 13 25 81 80 12 05 01 56 06 01 56 07 04 00 00 00 01 08 04 00 00 00 01 52 F6 7E
TX: 13:32:28	7E A8 5D 02 25 03 10 1A 66 E6 E6 00 60 62 A1 09 06 07 60 85 74 05 08 01 03 A6 0A 04 08 53 41 43 53 41 43 53 41 A9 03 02 01 01 8A 02 07 80 8B 07 60 85 74 05 08 02 05 AC 12 80 10 02 99 70 5C FB DA 8D 27 13 E6 82 F3 2A 5D 4C C5 BE 23 04 21 21 1F 30 00 00 00 00 75 19 63 72 89 0E 1F 59 7E
RX: 13:32:28	7E A8 5D 02 25 03 10 1A 66 E6 E6 00 60 62 A1 09 06 07 60 85 74 05 08 01 03 A6 0A 04 08 53 41 43 53 41 43 53 41 A9 03 02 01 01 8A 02 07 80 8B 07 60 85 74 05 08 02 05 AC 12 80 10 02 99 70 5C FB DA 8D 27 13 E6 82 F3 2A 5D 4C C5 BE 23 04 21 21 1F 30 00 00 00 00 75 19 63 72 89 0E 1F 59 7E 7E A0 08 03 02 25 31 99 C0 7E
TX: 13:32:28	7E A0 1E 02 25 03 12 BE B8 B4 DA C6 64 6F 0E 8F EC CD 48 2F E5 F4 C0 2D DF A8 C4 65 8C FA 08 7E
RX: 13:32:29	7E A0 1E 02 25 03 12 BE B8 B4 DA C6 64 6F 0E 8F EC CD 48 2F E5 F4 C0 2D DF A8 C4 65 8C FA 08 7E 7E A8 60 03 02 25 50 DD 68 E6 E7 00 61 69 A1 09 06 07 60 85 74 05 08 01 03 A2 03 02 01 00 A3 05 A1 03 02 01 0E A4 0A 04 08 A5 4C 99 00 00 00 01 03 88 02 07 80 89 07 60 85 74 05 08 02 05 AA 12 80 10 43 52 91 02 43 52 91 02 43 52 91 02 43 52 91 02 BE 23 04 21 28 1F 30 00 00 00 00 83 53 79 1D 7E
TX: 13:32:29	7E A0 08 02 25 03 31 FF 24 7E
RX: 13:32:29	7E A0 08 02 25 03 31 FF 24 7E 7E A0 22 03 02 25 52 3D BD FD F9 6E DE AA E5 D3 B4 A4 87 75 16 75 67 9C 62 B4 CC B3 BB C1 06 56 81 E6 26 7E
TX: 13:32:29	7E A0 40 02 25 03 54 56 8B E6 E6 00 CB 31 30 00 00 00 02 29 A7 CB 61 0A 0A E9 EC DC 6E 1B 1D CE 4B FB 96 FC 95 31 88 EB 67 61 1F 34 7B C2 71 0E E6 14 D2 64 79 35 80 DA B4 6A 9D A7 9B 6E 6B AE 26 7E
RX: 13:32:29	7E A0 40 02 25 03 54 56 8B E6 E6 00 CB 31 30 00 00 00 02 29 A7 CB 61 0A 0A E9 EC DC 6E 1B 1D CE 4B FB 96 FC 95 31 88 EB 67 61 1F 34 7B C2 71 0E E6 14 D2 64 79 35 80 DA B4 6A 9D A7 9B 6E 6B AE 26 7E 7E A0 39 03 02 25 74 A5 0A E6 E7 00 CF 2A 30 00 00 00 02 69 35 21 B3 C1 89 94 95 46 F9 DF 6E 54 87 A7 22 A7 26 71 93 F5 1A 50 27 8C 85 53 96 18 B9 C7 A0 C1 3E 28 14 16 48 BB 7E
TX: 13:32:29	7E A0 2E 02 25 03 76 4D 49 E6 E6 00 DB 00 1E 30 00 00 00 03 C4 4C 30 F8 96 2E C1 D6 EC 37 D0 F5 E5 EB 83 7E 5C 4F 13 A1 26 F5 7C 70 27 BB 72 7E
Data send failed.  Try to resend 1/3
RX: 13:32:35	7E A0 2E 02 25 03 76 4D 49 E6 E6 00 DB 00 1E 30 00 00 00 03 C4 4C 30 F8 96 2E C1 D6 EC 37 D0 F5 E5 EB 83 7E 5C 4F 13 A1 26 F5 7C 70 27 BB 72 7E 7E A0 2E 02 25 03 76 4D 49 E6 E6 00 DB 00 1E 30 00 00 00 03 C4 4C 30 F8 96 2E C1 D6 EC 37 D0 F5 E5 EB 83 7E 5C 4F 13 A1 26 F5 7C 70 27 BB 72 7E 7E A8 60 03 02 25 96 E7 CB E6 E7 00 DB 08 A5 4C 99 00 00 00 01 03 82 01 E8 30 00 00 00 03 CB 7F 4D 66 C3 86 3F 78 A0 27 1E 22 F0 D2 D6 F6 AE 32 0E FA 8F C9 18 75 E4 0B 13 0C 92 3D 36 6E E7 73 4E C0 42 01 48 BC 66 83 1B 39 02 93 E8 84 59 2B EA BB 76 D8 BF 00 57 31 E2 3A 92 8B 76 40 15 25 DB 7E
TX: 13:32:35	7E A0 08 02 25 03 91 F5 81 7E
RX: 13:32:35	7E A0 08 02 25 03 91 F5 81 7E 7E A8 60 03 02 25 98 99 22 BD 34 B6 61 BA 43 F6 EA BF D2 DE 60 8B F7 F6 A0 1C 69 DB 61 0D 4C A4 AD 3F 5F 33 28 9C E7 C5 5F 77 E3 07 25 29 8D 35 00 A4 A5 04 DC C4 D7 67 2F 3B D4 CC EC 67 D8 ED 40 6B C6 AD 3C C7 1B 02 F8 16 09 09 44 C1 B5 FD 91 CD 09 4C AC 15 D9 FD 97 FC 78 2B 82 4D AF D9 CE 7E
TX: 13:32:35	7E A0 08 02 25 03 B1 F7 A0 7E
RX: 13:32:35	7E A0 08 02 25 03 B1 F7 A0 7E 7E A8 60 03 02 25 9A 8B 01 8D 4D 49 FA A5 A7 B8 E0 F4 57 59 E6 00 CE 25 AD C1 04 92 EA BD E3 B3 7C C0 44 DD E7 42 04 5C A3 6D BD F2 62 6C CC F6 59 73 D4 E6 09 52 F0 4B 9A 7B 26 0F 73 82 86 FE CE C1 D0 24 0A F0 49 91 ED 28 84 7F EA 1F 0B A3 52 2B EC CF DA 18 A6 DD 02 DF 9A A1 BC C7 8B 08 16 7E
TX: 13:32:35	7E A0 08 02 25 03 D1 F1 C3 7E
